Time Step,Satellite Index,Satellite Visible,Satellite Available,Active Satellite,Weighted Values,Unweighted Values,Availability,BER,Cost,Latency,Data Transfer Latency,Throughput,Weighted Availability,Weighted BER,Weighted Cost,Weighted Latency,Weighted Data Transfer Latency,Weighted Throughput,Values Used
0,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
0,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
0,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
0,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
1,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
1,2,Yes,Yes,Yes,0.21585807594640283,4.4125433329081405,0.6923076923076923,0.7777777777777778,0.9836033324480903,1.0,,0.09986311454472406,0.0,0.0,0.0,0.1,0.08589914158298562,0.029958934363417216,Normal
1,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
1,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
2,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
2,2,Yes,Yes,Yes,0.21017113156259112,4.167818506832792,0.6153846153846154,0.6666666666666666,0.9836033324480903,0.9771998316354569,,0.09977371164624557,0.0,0.0,0.0,0.09771998316354569,0.08251903490517176,0.02993211349387367,Normal
2,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
2,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
3,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
3,2,Yes,Yes,Yes,0.19837271370330287,3.8620970345406453,0.5384615384615384,0.5555555555555556,0.9836033324480903,0.8955491044650363,,0.09962526447878392,0.0,0.0,0.0,0.08955491044650364,0.07893022391316405,0.029887579343635173,Normal
3,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
3,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
4,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
4,2,Yes,Yes,Yes,0.18437679941989002,3.5345989726470215,0.46153846153846156,0.4444444444444444,0.9836033324480903,0.7923617167055603,,0.0993776299914375,0.0,0.0,0.0,0.07923617167055604,0.07532733875190274,0.02981328899743125,Normal
4,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
4,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
5,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
5,2,Yes,Yes,Yes,0.2938702802335967,3.2115629946337445,0.38461538461538464,0.3333333333333333,0.9836033324480903,0.6926788570382902,,0.09896131366489976,0.07692307692307693,0.046153846153846156,0.0,0.06926788570382902,0.0718370773533746,0.029688394099469925,Normal
5,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
5,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
6,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
6,2,Yes,Yes,Yes,0.2509720707541019,2.903657265653613,0.3076923076923077,0.2222222222222222,0.9836033324480903,0.6065919122759648,,0.09825219058655175,0.06153846153846154,0.03076923076923077,0.0,0.06065919122759648,0.06852953004284759,0.029475657175965526,Normal
6,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
6,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
7,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
7,2,Yes,Yes,Yes,0.2095831792114721,2.6118969407720285,0.23076923076923078,0.1111111111111111,0.9836033324480903,0.5350667465852539,,0.09701695514325472,0.046153846153846156,0.015384615384615385,0.0,0.05350667465852539,0.06543295647150875,0.029105086542976413,Normal
7,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
7,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
8,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
8,2,Yes,Yes,Yes,0.1693986151343348,2.33418552377753,0.15384615384615385,0.0,0.9836033324480903,0.4764164663412848,,0.09477890308387732,0.03076923076923077,0.0,0.0,0.04764164663412848,0.06255406680581235,0.028433670925163194,Normal
8,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
8,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
9,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
9,2,Yes,Yes,Yes,0.1452139437120513,2.1779815881504243,0.07692307692307693,0.0,0.9836033324480903,0.4281793851772491,,0.09041905224755074,0.015384615384615385,0.0,0.0,0.04281793851772492,0.05988567413544576,0.02712571567426522,Normal
9,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
9,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
10,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
10,2,Yes,No,Yes,0.1204235231163556,2.02656103183122,0.0,0.0,0.9836033324480903,0.38816815356767026,,0.08063876589021307,0.0,0.0,0.0,0.03881681535676703,0.05741507799252465,0.024191629767063922,Normal
10,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
10,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
11,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
11,2,Yes,No,No,0.10587151284452864,1.940474521768822,0.0,0.0,0.9836033324480903,0.35466944399899086,,0.05092196956227736,0.0,0.0,0.0,0.035466944399899086,0.05512797757594634,0.015276590868683208,Penalty
11,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
11,4,Yes,No,Yes,0.11578864421547243,2.1414897746028148,0.0,0.0,0.9836033324480903,0.37119569576442313,,0.0,0.0,0.0,0.0,0.037119569576442316,0.07866907463903011,0.0,Normal
12,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
12,2,Yes,No,No,0.08564367818054594,1.8400401142535496,0.0,0.0,0.9836033324480903,0.32634402052526684,,0.0,0.0,0.0,0.0,0.032634402052526684,0.05300927612801925,0.0,Penalty
12,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
12,4,Yes,No,Yes,0.1208847208751868,2.192450541199958,0.0,0.0,0.9836033324480903,0.4012990963290239,,0.0,0.0,0.0,0.0,0.04012990963290239,0.08075481124228441,0.0,Normal
13,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
